arbol;cuadrante;sp;x;y;dbh;H
400;16;Pinus pinea;-2.851656839;-20.29059273;28.75;9
402;12;Quercus ilex;1.36755895;-3.221766987;8.75;4.7
403;12;Quercus ilex;0;-2.94;8.3;4.5
404;12;Quercus faginea;2.595;-4.494671846;10.55;5.5
405;12;Quercus ilex;0.179732408;-5.146862759;9.3;5.1
406;12;Quercus ilex;-2.075055665;-4.449971234;7.8;3.7
408;12;Quercus ilex;-2.629305232;-1.91030207;9.5;4.8
409;12;Quercus ilex;-1.148532405;-2.354840401;10.05;4.8
410;12;Quercus ilex;-3.936354174;-4.528257481;12;4.6
411;12;Quercus ilex;-6.535784965;-5.681471191;8.65;3.8
412;12;Quercus ilex;10.62453367;4.730347159;11.8;5.1
413;12;Quercus faginea;7.617921682;-8.169220847;10.95;4.3
414;12;Quercus faginea;9.295505548;-8.668199156;9.9;3
416;12;Quercus faginea;9.577264573;-8.325389078;12.1;4.6
417;12;Quercus faginea;9.305953684;-5.158374359;11.1;3.8
419;12;Quercus faginea;9.048562709;-3.840886993;11.9;4.8
420;12;Quercus faginea;8.714692742;-4.633684325;9.9;4.8
421;12;Quercus faginea;10.69489514;-1.50306949;7.5;3.8
422;12;Pinus pinea;15.9195451;-8.464572277;28.8;7.7
424;12;Quercus ilex;13.16213508;-11.44166947;8.15;4.1
425;12;Quercus ilex;1.093900574;7.78350702;6.55;3.2
426;12;Quercus ilex;3.774462701;8.892076884;12.65;4.4
427;12;Pinus pinea;6.945;12.02909286;30.15;9.4
429;12;Pinus pinea;9.766896689;10.11391759;21.05;8.1
431;12;Juniperus thurifera;8.880826872;6.692183058;8.65;4.1
432;11;Pinus pinea;8.961918068;4.765136362;33.9;9.1
433;12;Pinus pinea;-6.512069862;-2.370199593;28.8;9.5
435;12;Quercus ilex;-5.563103127;-2.247639561;13.9;5.9
436;12;Quercus ilex;-2.052725823;0.871330417;9.8;5.2
437;12;Quercus ilex;-1.807301908;1.21904053;12;5.3
438;12;Quercus ilex;-4.174896807;4.3232322;9.2;4.4
440;12;Quercus ilex;-4.577798661;4.740449284;10.85;3.8
442;12;Quercus ilex;-4.884653426;5.424957226;8.55;3.8
443;12;Juniperus thurifera;11.34425537;15.61402799;7.05;4
445;12;Juniperus thurifera;18.33048604;-3.896265086;11.45;3.9
446;12;Juniperus thurifera;18.54455046;-0.971878707;8.6;4
447;12;Pinus pinea;20.47674305;3.980275644;37.55;10.2
448;8;Quercus ilex;;;10;
449;8;Quercus faginea;-1.461650383;-4.498497322;11.45;4.3
450;8;Quercus faginea;-1.699465766;-4.935606965;10.2;3.9
451;8;Quercus ilex;-4.603306698;-3.344498086;9.35;4.8
452;8;Quercus ilex;;;8.1;5
453;8;Quercus faginea;10.67036043;5.914677367;9.25;4.7
454;8;Quercus faginea;11.65470105;4.708804879;11.1;4.8
455;8;Quercus faginea;-6.964101648;-5.247827002;9.95;4.7
456;8;Quercus ilex;-5.778660611;-6.886739544;9;4.4
457;8;Quercus ilex;-6.349148494;-8.425604631;8.55;4.3
458;8;Quercus ilex;-7.492597038;-9.9430121;8.8;4.4
460;8;Quercus ilex;-5.164395159;-11.07508116;8.85;4.2
461;8;Quercus ilex;10.04503908;1.771211412;9.15;3.7
462;8;Quercus ilex;12.85367953;1.806466851;11.3;3.5
463;8;Pinus pinea;3.541759729;-4.220904882;21;6.3
464;8;Quercus ilex;8.598275728;-3.300568815;8;3.8
465;8;Quercus ilex;6.992992808;-6.296519006;8.45;3.8
466;8;Quercus faginea;6.507741682;-1.866064899;8.7;3.1
467;8;Quercus faginea;5.438214596;1.057081834;7.7;2.6
468;8;Quercus faginea;10.96595662;-13.0687182;8.75;4.5
470;7;Pinus pinea;2.286769053;-3.805822815;28.15;6.9
474;8;Quercus faginea;-2.408720396;5.961792185;8.85;4
475;8;Quercus faginea;1.265969481;4.140799593;9.05;5
476;8;Quercus faginea;0.926913776;0.777773008;9.6;4
477;8;Quercus faginea;2.766766298;4.260446485;8.85;4.4
478;8;Pinus pinea;3.094590538;7.290398439;41.9;10.2
479;8;Quercus faginea;4.11118558;7.416775117;10.2;4.1
481;8;Quercus faginea;-1.117336622;12.77121603;7.7;3.1
482;8;Quercus faginea;2.177548148;12.34948922;8.45;4
483;8;Quercus ilex;-0.881337503;-16.81692137;8.25;3.7
484;8;Quercus ilex;-2.382496903;-15.04249343;8.7;3.5
485;8;Quercus faginea;-3.144532244;-16.17721598;9.65;4.1
486;8;Quercus faginea;-3.693696312;-15.99915646;8.15;3.4
487;8;Pinus pinea;6.248708019;-17.16818418;39.5;8.2
488;8;Pinus pinea;4.145585832;-14.45737591;19.85;8.3
489;8;Quercus faginea;3.483841319;-8.622809848;10.55;3.7
490;8;Pinus pinea;9.033767834;-15.03471445;24.25;8.6
491;8;Pinus pinea;7.962622692;-12.2613637;34;8.9
492;8;Pinus pinea;4.661422363;-10.9816229;27.65;8
493;8;Quercus faginea;3.896540373;-8.356157797;11.05;4.5
494;8;Quercus faginea;1.53311634;-12.48623059;8.65;4.3
495;8;Quercus faginea;-1.034831786;-9.845766764;12.75;4.5
496;8;Quercus faginea;-3.504838547;-9.130416571;8.65;2.9
497;4;Pinus pinea;0.507052679;-2.875638639;13.15;5.1
